Original Filename,Preprocessed Text
155 Logica y Teoría de Conjuntos,curso cubrir fundamento logica matematica teoria conjunto introducir sistema formal razonamiento deductivo principio conjunto relacion funcion cardinalidad esencial matematica puro aplicado
156 Inferencia Estadística,curso presentar principio inferencia estadistico incluir estimacion parametro prueba hipotesis analisis varianzar estudiante aprenderar tecnica estadistica analisis interpretacion dato aplicable diverso disciplina cientifica
157 Análisis Numérico,curso explorar metodo numerico resolucion ecuacion diferencial integracion numerico algebra lineal enfatizar implementacion algoritmo computadora evaluacion precision resultado obtenido
158 Teoría de Números,curso presentar concepto fundamental teoria numero enfocar divisibilidad congruencia funcion aritmetica estudiante aprenderar teorema numero primos aplicacion teoria numero criptografia
159 Combinatoria y Grafos,curso cubrir principio combinatorio teoria grafos estudiant aprenderar tecnica conteo combinacion permutacion estructura grafo aplicacion optimizacion analisis red
15 Matemáticas Discretas,introduccion concepto fundamental matematica discreto teoria conjunto grafo algoritmo combinatorio estudiar aplicacion informatico area relacionado
160 Ecuaciones Diferenciales Parciales,curso presentar fundamento ecuacion diferencial parcial esencial modelar fenomeno fisico matematica aplicado estudiar tecnica resolver ecuacion primero segundo orden aplicacion dinamico fluido transferencio calor
161 Álgebra Lineal 2,curso continuacion algebra lineal cubrir tema avanzado espacio vectorial transformacion lineal forma cuadratica estudiante tambien aprenderar valor propio vector propio aplicacion diverso area matematica
162 Álgebra Abstracta 1,curso cubrir fundamento algebra abstracto enfoque grupo anillo campo estudiant desarrollar habilidad razonamiento abstracto demostracion matematico aplicable area teoria numeros geometria algebraica
163 Geometría Diferencial,curso introducir teoria superficie curva espacio euclidiano estudiante explorar geometria intrinseco extrinseco aplicar concepto curvatura torsion geometria diferencial aplicacion fisico teorica ingenieria
164 Análisis Funcional,curso enfocar espacio vectorial normado aplicacion analisi cubrir concepto espacio hilbert banach operador lineal teorema punto fijo area crucial analisis espacio infinito
165 Álgebra Abstracta 2,continuacion algebra abstracto curso cubrir tema mas avanzado relacionado anillo ideal cuerpo homomorfismo estudiante tambien explorar teoria galoi aplicacion resolucion ecuacion polinomica
166 Topología 1,curso introducir concepto basico topologia estudio propiedad geometrica permanecer invariant bajo deformacion cubrir topico espacio topologico continuidad conexion rama matematica geometria diferencial
167 Topología 2,continuacion topologia curso cubrir tema avanzado topologia algebraico estudiant aprenderar homotopia grupo fundamental teoria homologio aplicar concepto problema geometrico fisico
168 Análisis Real,curso explorar base analisis real area clave matematico estudiar numero real funcion secuencia cubrir tema convergenciar serie continuidad derivacion enfasis demostracion riguroso aplicacion calculo avanzado
169 Improvisacion,curso introducir tecnica improvisacion danza contemporaneo estudiant explorar movimiento espontaneo creatividad corporal herramienta creacion artistico enfatizar conexion espacio companero traves movimiento libre
16 Introduccion a la Economía,curso proporcionar vision general principios economio abarcar tema oferta demandar mercado sistema economico analizar concepto afectar tomar decision nivel personal empresarial
170 Danza Moderna 2,continuacion danza moderno curso profundizar tecnica avanzado danza moderno estudiante aprenderar nuevo combinacion coreografica trabajar expresion emocional trav movimiento curso enfatizar control corporal tecnico salto
171 Barra para danza contemporánea,curso enfocar entrenamiento barra adaptado danza contemporaneo estudiant practicar ejercicio tecnico barra mejorar alineacion fuerza flexibilidad curso buscar desarrollar control postural precision movimiento tecnico
172 Composicion,curso introducir principio composicion coreografica estudiante aprenderar crear secuencia movimiento partir improvisacion tecnico explorar diferente estructura coreografica estilo composicion enfasis creacion pieza original
173 Performance,curso preparar estudiante interpretacion vivo pieza coreografico trabajar desarrollo presencia escenico conexion publico ejecucion preciso coreografio curso incluir presentacion publica evaluacion performance
174 Proyecto final en Danza,proyecto final danzo culminacion estudios danza contemporaneo estudiant deber crear desarrollar presentar obra coreografico original aplicar conocimiento adquirido carrera proyecto final serar evaluar jurado experto danza
175 Lenguaje del Cine,curso explorar fundamento lenguaje cinematografico incluir gramatica visual narrativo estudiante aprenderar estructura narrativo uso encuadre elemento visual sonoro contribuir narrativa cinematografico
176 Lenguaje Visual y Montaje,curso estudiar principio lenguaje visual tecnica montaje analizar montaje edicion afectar narrativo percepcion espectador estudiant desarrollar habilidad practica uso montaje crear cohesion ritmo proyecto cinematografico
177 Cinematografía,curso cinematografia abordar aspecto tecnico artistico fotografia cine estudiante aprenderar iluminacion composicion seleccion equipo capturar imagen apoyar narrativo estilo visual pelicula
178 Sonido,curso centrar produccion diseno sonido cine estudiante aprenderar capturar editar mezclar sonido complementar enriquecer narrativa visual abordar aspecto diseno efectos sonido sincronizacion mezcla final
179 Storytelling,curso storytelling ensenar construir desarrollar narrativa efectivo cine estudiante explorar tecnica desarrollar personaje trama conflicto elemento combinar crear historia convincente emocionalmente resonante
17 Física para Ingeniería 1 +Lab Ej,curso introducir principio fisico aplicado ingenieria cubrir tema mecanico clasico cinematico dinamico incluir componente laboratorio aplicar conocimiento teorico experimento practico
180 Diseño de Produccion,curso enfocar diseno planificacion produccion cinematografico estudiant aprenderar conceptualizar disenar elemento visual pelicula incluir escenario decorado vestuario crear atmosfero estilo visual apoyar narrativo
181 Inv. de Operaciones 1 +Lab,curso proporcionar introduccion principio tecnica investigacion operacion incluir estudio modelo matematico algoritmo optimizacion sistema produccion logistico componente laboratorio permitir estudiante aplicar concepto escenario practico
182 Control de Produccion,curso estudiar tecnica herramienta control gestion procesos produccion cubrir tema programacion produccion control inventario mejorar eficiencia estudiant aprenderar utilizar sistema control garantizar calidad eficiencia produccion
"183 Procesos, Métodos y Estándares",curso explorar diseno mejorar proceso industria estudiant aprenderar metodo optimizar proceso establecer estandar operativo medir rendimiento enfocar tecnica mejorar eficiencia calidad procesos produccion
184 Ergonomía,curso ergonomio abordar diseno entornos trabajar maximizar comodidad productividad estudiar principio diseno ergonomico aplicado estacion trabajo herramienta equipo estudiant aprenderar identificar corregir problema ergonomico mejorar salud bienestar trabajo
185 Ingeniería de la Calidad + Lab,curso centrar metodo tecnica garantizar calidad procesos produccion incluir estudio sistema gestion calidad tecnica control estadistico calidad auditoria componente laboratorio proporcionar experiencia practicar aplicacion metodo asegurar calidad
186 Sistemas Lean,curso sistema leer enfocar principio practica metodologia leer mejora continuo produccion estudiante aprenderar eliminacion desperdicio mejorar proceso optimizacion cadén valor aumentar eficiencia reducir costo
18 Cálculo Vectorial,curso abordar calculo varios variable incluir diferenciacion integracion funcion vectorial estudiar concepto campo vectorial integral linea superficie aplicacion fisico ingenieria
19 Inglés Nivel 5,curso avanzado ingles centrar desarrollo habilidad comunicativo contexto mas especializado estudiante participar discusion debate presentacion formal tema complejo enfatizar fluidez precision comunicacion asi capacidad argumentar defender punto visto manera efectivo
1 Escritura Academica,asignatura centrar desarrollar habilidad avanzado redaccion academica estudiant aprenderar estructurar ensayo realizar investigacion usar correctamente cita referencia bibliografica tambien abordar tecnica mejorar claridad coherencia escrito enfocar creacion texto formal academico curso esencial presentar trabajo investigacion alto calidad
20 Inglés Nivel 6,curso finalizar serie nivel ingl preparar estudiante comunicar él fluidez situacion academica profesional incluir tarea avanzado escritura analisis texto presentacion formal estudiant desarrollar habilidad redactar informe detallado realizar investigacion academica participar discusion profesional
21 Programacion de Apps,curso ensena diseno desarrollo aplicacion movil estudiant aprender programar interfaz usuario gestionar base dato movil optimizar experiencia usuario entorno movil cubrir tema integracion servicio web uso apis implementacion caracteristica avanzado notificacion push almacenamiento nube
22 Álgebra Lineal 1 +Ej,introduccion concepto basico algebra lineal incluir matriz determinante vector espacio vectorial incluir ejercicio practico aplicar concepto problema ingenieria ciencias estudiant aprenderar resolver sistema ecuacion lineal realizar transformacion lineal comprender teoria espacio vectorial
23 Física para Ingeniería 2 +Lab Ej,continuacion curso fisico ingenieria curso cubrir tema electromagnetismo circuito electrico onda incluir componente laboratorio aplicacion practicar concepto teorico estudiante realizar experimento entender comportamiento circuito electrico campo magnetico propiedad onda
24 Aprendizaje y Servicio PASEC,curso combinar teoria practicar traves aprendizaje basado servicio comunitario estudiantes aplicar conocimiento academico proyecto impacto social desarrollar habilidad liderazgo responsabilidad social fomentar reflexion criticar necesidad comunidad implementacion solucion sostenible
25 Cultura Gastronomica,curso explorar historia evolucion gastronomia nivel mundial estudiar influencia cultural social cocina enfasis gastronomio diferente region mundo estudiantes analizar relacion comida identidad cultural asi tendencia actual gastronomia global
26 Electronica Básica +Lab,curso introductorio principio electronico estudiar circuito componente electronico aplicacion dispositivo basico laboratorio permitir experimentar circuito simple analisis estudiant aprenderar disenar construir circuito electronico basico comprender funcionamiento componente resistencia capacitor transistor utilizar herramienta medicion electronico
27 Estructuras de Datos,curso cubrir implementacion analisis estructura dato listo pila cola arbol grafo estudiant aplicar concepto proyecto programacion optimizar rendimiento algoritmo enfatizar importancia elegir estructura dato adecuado diferente tipo problema incluir estudio caso ilustrar aplicacion practica
28 Probabilidad y Estadística +Ej,curso introducir concepto fundamental probabilidad estadistico aplicacion ingenieria ciencias ejercicio practico reforzar analisis dato interpretacion resultado estadistico cubrir tema distribucion probabilidad prueba hipotesis regresion analisis varianzo proporcionar base solido analisis dato
29 Teoría de la Computacion,curso cubrir fundamento teorico computacion incluir automata lenguaje formal gramaticas teoria complejidad estudiant desarrollar comprension profundo limit computable explorar tema avanzado decidibilidad reducibilidad clase complejidad preparar estudiante enfrentar problema complejo computacion
2 Taller de Ing. Cs. Computacion,asignatura impartir conocimiento practico desarrollo proyecto campo ingenieria software estudiantes trabajar equipo disenar implementar probar solucion problema real usar herramienta programacion taller tambien abordar metodologia agil ciclo vida desarrollo software fomentar uso mejor practica codificacion documentacion proyecto involucrar integracion conocimiento teorico escenario practico
30 Programacion Avanzada de Apps,curso enfocar desarrollo avanzado aplicacion movil cubrir tecnica programacion multipl plataforma seguridad movil optimizacion rendimiento incluir proyecto practico estudiant disenar desarrollar aplicacion complejo implementar caracteristica avanzado notificacion push integracion servicio web almacenamiento nube
31 Organizacion de Computadores,curso explorar componente arquitectura interno computador incluir memoria procesador bus estudiant aprender optimizar disenar sistema hardware eficiente abordar tema arquitectura conjunto instruccion isa jerarquia memoria interconexion componente proporcionar comprension integral funcionamiento interno computador
32 Emprendimiento,curso ofrecer base creacion nuevo negocio estudiant aprender planificacion empresarial financiamiento innovacion proceso llevar idea mercado incluir estudio caso startup exitoso fomentar desarrollo plan negocios completo abarcar identificacion oportunidad estrategia salido
33 Diseño de Sistemas,estudiante aprender disenar sistema complejo mediante analisis requerimiento modelado sistema prototipado enfocar creacion sistema eficiente escalabl adaptabl curso incluir uso herramienta modelado simulacion realizar proyecto estudiant aplicar principio diseno problema real concepcion implementacion
34 Inteligencia Artificial,curso introducir concepto clave inteligencia artificial incluir algoritmo busquedo aprendizaje automatico red neuronal procesamiento lenguaje natural estudiante explorar aplicacion practica ia diverso area vision computadora procesamiento lenguaje natural robotica enfatizar uso herramienta biblioteca moderno implementar solucion ia
35 Base de Datos,abordar concepto fundamental diseno manejo bás dato normalizacion tabla uso sql estudiante practicar base dato relacional relacional aprender optimizacion consulta gestion transaccion seguridad dato curso incluir proyecto practico disenar gestionar base dato eficiente
36 Aprendizaje Automático,curso profundizar tecnica aprendizaje automatico incluir modelo supervisado supervisado red neuronal estudiant implementar algoritmo clasificacion prediccion proyecto practico cubrir tema avanzado aprendizaje profundo procesamiento grande volumen dato evaluacion modelo curso preparar estudiante aplicar tecnica aprendizaje automatico problema mundo real
37 Redes +Lab,curso teorico practico red computador cubrir protocolo red arquitectura internet enrutamiento seguridad red componente laboratorio implementacion estudiant aprender configurar gestionar red solucionar problema conectividad aplicar medida seguridad proteger infraestructura red curso incluir estudio caso proyecto practico
38 Sistemas Operativos,estudiante aprender principio estructura sistema operativo incluir gestion procesos memoria almacenamiento seguridad incluir perspectiva practicar administracion sistema curso cubrir tema concurrencio planificacion procesos gestion memoria sistema archivos estudiantes tambien trabajar sistema operativo real desarrollar habilidad practica administracion configuracion
39 Proyectos  Gerencia y Análisis,curso cubrir planificacion gestion proyectos ambito ingenieria computacion estudiantes desarrollar habilidad analisi requerimiento estimacion costo gestion riesgo abordar metodologia gestion proyectos agile scrum utilizar herramienta software planificar monitorear proyecto curso incluir estudio caso proyecto practico aplicar concepto aprendido
3 Cálculo Diferencial + Ej,curso introducir concepto fundamental calculo diferencial limit derivado aplicacion derivado problema optimizacion analisis funcion complementar ejercicio practico aplicar concepto esencial formacion ingeniero
40 Práctica Pre-Profesional PASEM,curso permitir estudiante adquirir experiencia laboral entorno profesional relacionado campo estudio aplicar conocimiento academico proyecto real estudiante trabajar empresa institucion desarrollar habilidad practica profesional curso incluir elaboracion informe final presentacion experiencia adquirido destacar logro aprendizaj
41 Coloquios ING,espacio reflexion discusion academica estudiantes presentar debatir tema inter actual campo estudio fomentar participacion activo criticar coloquio tambien incluir participacion experto invitado compartir conocimiento experiencia enriquecer aprendizaje estudiant
42 Seguridad Informática,estudiar principio seguridad sistema informatico incluir criptografia autenticacion control acceso seguridad red estudiant aplicar tecnica proteccion deteccion intrusion curso tambien abordar gestion riesgos implementacion politicas seguridad proteger informacion sistema amenaza vulnerabilidad
43 Minería de Datos,curso ensén tecnica extraer conocimiento partir grande volumen dato estudiant trabajar algoritmo clasificacion clustering analisis dato resolver problema real incluir estudio caso proyecto practico permitir estudiante aplicar tecnica aprendido situacion mundo real mejorar capacidad tomar decision basado dato
44 Aplicaciones Distribuidas,curso cubrir diseno desarrollo aplicacion distribuido multipl sistema interactuan trav red estudiant aprender implementar gestionar aplicacion escalabl seguro abordar tema comunicacion procesos sincronizacion tolerancia fallo seguridad sistema distribuido proporcionar comprension integral desafios solucion campo
45 Proyecto Integrador CMP,proyecto final programa computacion estudiantes aplicar conocimiento desarrollo sistema completo resolver problema real empresarial integrar diverso area campo estudiant trabajar equipo planificar disenar implementar evaluar proyecto desarrollar habilidad gestion proyecto trabajo equipo comunicacion efectivo proyecto culminar presentacion formal demostracion sistema desarrollado
46 Matematica Empresarial +Ej,curso abarcar tema matematica aplicado ambito empresarial algebra funcion analisis financiero incluir ejercicio practico reforzar concepto teorico estudiante aprenderar utilizar herramienta matematica resolver problema financiero empresarial desarrollar habilidad analitica tomar decision
47 Conceptos y Tecnicas 1,curso introducir estudiante concepto fundamental tecnica cocín incluir habilidad basica preparacion alimento uso herramienta culinario enfocar seguridad alimentario higiene cocín correcta manipulacion ingrediente estudiant practicar tecnica corte coccion presentacion plato basico
48 Principios de Administracion,curso introductorio cubrir principio esencial administracion incluir planificacion organizacion liderazgo control entorno empresarial estudiante aprenderar tomar decision estrategica gestion recursos humanos implementacion politicas organizacional incluir estudio caso ejercicio practico aplicar concepto aprendido
49 Panaderia,estudiante aprender principio basico panaderio incluir preparacion diferente tipo pan masa fermentada tecnica horneado abordar tema seleccion ingrediente proceso fermentacion decoracion producto panaderio curso incluir sesion practica estudiant elaborar variedad pan producto horneado
4 Química General 1 +Lab Ej,curso cubrir principio basico quimico estructura atomico enlace quimico reaccion incluir experimento laboratorio reforzar concepto desarrollar habilidad experimental proporcionar base solida quimica
50 Nutricion Humana +Lab,curso explorar fundamento nutricion humano componente practico laboratorio analisis dieta evaluacion necesidad nutricional estudiante aprenderar nutrient esencial digestion metabolismo asi planificacion dieta equilibrado laboratorio permitir estudiante realizar analisis alimento evaluar nutricional diferente poblacion
51 Introduccion a la Hospitalidad,estudiante familiarizar principio fundamental industria hospitalidad incluir servicio cliente gestion hotelero tendencia actual sector abordar tema historio hospitalidad importancio calidad servicio habilidad necesario tener exito campo curso tambien incluir estudio caso visita establecimiento hospitalidad proporcionar comprension practicar industria
52 Contabilidad Empresarial,curso cubrir principio basico contabilidad financiero aplicado empresa incluir registro transaccion balance cuenta preparacion informe financiero estudiante aprenderar interpretar financiero realizar analisi financiero comprender importancia contabilidad tomar decision empresarial incluir ejercicio practico estudio caso aplicar concepto aprendido
53 Conceptos y Tecnicas 2 +PRA,continuacion concepto tecnica curso avanzar habilidad culinario enfoque practicar intensivo preparar plato mas complejo estudiante aprenderar tecnica avanzado cocina presentacion plato gestion tiempo cocín curso incluir sesion practica estudiant aplicar aprendido situacion cocina real mejorar habilidad culinario capacidad trabajar bajo presion
54 Practica Culinaria 1,estudiante aplicar tecnica culinario basica entorno practico aprender trabajar equipo gestionar operacion cocín curso enfocar preparacion menus organizacion cocina implementacion practica higiene seguridad estudiantes tambien desarrollar habilidad gestion inventario control costo preparar plato bajo supervision chef experimentado
55 Administracion de A & B,curso ensén principio administracion alimento bebida establecimiento hospitalidad cubrir gestion inventario costo control calidad estudiant aprenderar planificar menu negociar proveedor gestionar personal servicio incluir estudio caso proyecto practico aplicar concepto aprendido situacion real mejorar eficiencia calidad servicio establecimiento alimento bebida
56 Carniceria,estudiar tecnica corte carne manejo diferente tipo carne metodos preparacion cocina profesional estudiante aprenderar seleccionar cortar preparar carne manera eficiente seguro utilizar herramienta especializado curso tambien abordar conservacion almacenamiento adecuado producto carnico
57 Alta Cocina Ecuatoriana,estudiante aprender preparar plato tradicional ecuatoriano enfoque tecnica alto cocina presentacion moderno explorar ingrediente autoctono aplicar tecnica culinario avanzado realzar sabor presentacion plato curso incluir demostracion practica creacion menus degustacion
58 Introduccion a la Biología +Ej,curso proporcionar introduccion principio fundamental biologia estudiantes explorar tema estructura funcion celula genetica evolucion ecologia diversidad organismo vivo adema curso incluir ejercicio practico experimento laboratorio reforzar concepto teorico desarrollar habilidad cientifica basica
59 Introduccion al Marketing HSP,introduccion marketing industria hospitalidad cubrir concepto segmentacion mercado estrategia precio promocion servicio estudiant desarrollar habilidad crear ejecutar plan marketing efectivo utilizar estudio caso proyecto practico aplicar concepto aprendido situacion real
5 Cosmos,curso estudiar universo formacion estrellas galaxias teorias explicar origen incluir exploracion fenomeno astronomico analisis critico teoria cosmologica actual invitar reflexionar lugar cosmo
60 Coloquios Gastr,espacio reflexion discusion academica presentar tema actual campo hospitalidad gastronomia promover participacion activo estudiante tendran oportunidad interactuar experto industriar compartir idea debatir tendencia desafio actual enriquecer comprension campo
61 Alta Cocina Francesa,estudiante aprender tecnica receta tradicional cocina francés preparacion salsa elaboracion plato emblematico curso incluir demostracion practica sesion cocina estudiantes aplicar tecnica clasica crear plato sofisticado enfatizar precision atencion detalle presentacion plato
62 Pasteleria,curso ensén fundamento pastelerio incluir preparacion tarta galleta producto reposterio fino estudiante aprenderar tecnica horneado decoracion presentacion postres asi seleccion manejo adecuado ingrediente crear producto alto calidad
63 Servicio y Protocolo,estudiar principio servicio cliente industrio hospitalidad incluir norma protocolo etiqueto servicio alimento bebida estudiant desarrollar habilidad atencion cliente organizacion eventos gestion situacion servicio asegurar experiencia excepcional cliente
64 Practica Culinaria 2,curso practico permitir estudiante desarrollar habilidad avanzado cocina gestionar equipo preparar plato sofisticado entorno profesional estudiante trabajar planificacion menus ejecucion tecnica culinario avanzado gestion cocina bajo presion mejorar capacidad liderar colaborar equipo culinario
65 Alta Cocina Mundial,recorrido principal tradicion culinario mundo estudiant aprender preparar plato alto cocina diverso cultura curso incluir exploracion ingrediente exotico tecnica cocina internacional creacion menus tematico proporcionar comprension profundo diversidad culinario global
